chrom	start	end	weight	E1	E2	E3
chr1_pat	0	20000				
chr1_pat	20000	40000				
chr1_pat	40000	60000				
chr1_pat	60000	80000				
chr1_pat	80000	100000				
chr1_pat	100000	120000				
chr1_pat	120000	140000				
chr1_pat	140000	160000				
chr1_pat	160000	180000				
chr1_pat	180000	200000				
chr1_pat	200000	220000				
chr1_pat	220000	240000				
chr1_pat	240000	260000				
chr1_pat	260000	280000				
chr1_pat	280000	300000				
chr1_pat	300000	320000				
chr1_pat	320000	340000				
chr1_pat	340000	360000				
chr1_pat	360000	380000				
chr1_pat	380000	400000				
chr1_pat	400000	420000				
chr1_pat	420000	440000				
chr1_pat	440000	460000				
chr1_pat	460000	480000				
chr1_pat	480000	500000				
chr1_pat	500000	520000				
chr1_pat	520000	540000				
chr1_pat	540000	560000				
chr1_pat	560000	580000				
chr1_pat	580000	600000				
chr1_pat	600000	620000				
chr1_pat	620000	640000				
chr1_pat	640000	660000				
chr1_pat	660000	680000				
chr1_pat	680000	700000				
chr1_pat	700000	720000				
chr1_pat	720000	740000				
chr1_pat	740000	760000				
chr1_pat	760000	780000				
chr1_pat	780000	800000				
chr1_pat	800000	820000				
chr1_pat	820000	840000				
chr1_pat	840000	860000				
chr1_pat	860000	880000				
chr1_pat	880000	900000				
chr1_pat	900000	920000				
chr1_pat	920000	940000				
chr1_pat	940000	960000				
chr1_pat	960000	980000				
chr1_pat	980000	1000000				
chr1_pat	1000000	1020000				
chr1_pat	1020000	1040000	0.03151333933955169	-3.14670053779212	1.1427021757688955	0.0017098285463802334
chr1_pat	1040000	1060000	0.020069626317462255	-5.114860751899961	3.2102628866797063	-1.380732207591318
chr1_pat	1060000	1080000	0.02471955124195678	-3.929783187597931	2.360869840040437	-0.9684431303793228
chr1_pat	1080000	1100000	0.01885016479452692	-4.9170466203074215	3.756685896219907	-1.7931077501839272
chr1_pat	1100000	1120000	0.029735796557662144	-2.3949577258902877	-0.8417241474636575	-0.2106894785198946
chr1_pat	1120000	1140000	0.03730133496950747	-0.9973990062257654	-1.7219494158708184	0.8982690524297502
chr1_pat	1140000	1160000	0.038730148648767226	-0.49412458674648735	-0.546197356988303	0.11956399051372199
